company,site,category,contact_name,email,all_emails
Kaiten,https://kaiten.ru/,Project mgmt,,sales@kaiten.ru,sales@kaiten.ru; marketing@kaiten.ru; support@kaiten.ru; accounting@kaiten.ru; hr@kaiten.ru
Мегаплан,https://megaplan.ru/,CRM,,info@megaplan.kz,info@megaplan.kz; info@megaplan.ru; info@megaplan.by; writer@megaplan.ru
amoCRM,https://www.amocrm.ru/,CRM,,support@amocrm.ru,support@amocrm.ru
RetailCRM,https://www.retailcrm.ru/,CRM,,pr@retailcrm.ru,pr@retailcrm.ru; support@retailcrm.ru
Unisender,https://www.unisender.com/ru/,Email marketing,,pr@unisender.com,pr@unisender.com; support@unisender.com; affiliate@unisender.com
Sendsay,https://sendsay.ru/,Email marketing,,info@intervale.kz,info@intervale.kz; sale@sendsay.ru; moscow@sendsay.ru
Yougile,https://yougile.com/,Project mgmt,,support@yougile.com,support@yougile.com; feature_1@2.mp; feature_4@1.webm; feature_2@1.webm; about_1@2.mp; feature_1@1.webm; feature_3@1.webm; feature_3@2.mp; inf@yougile.com; buh@yougile.com; op@yougile.com; feature_2@2.mp; feature_4@2.mp; about_1@2.webm
Mindbox,https://mindbox.ru/,CDP / marketing,,info@mindbox.ru,info@mindbox.ru
SendPulse,https://sendpulse.com/ru,Email marketing,,sales@sendpulse.com,sales@sendpulse.com; support@sendpulse.com
DashaMail,https://dashamail.ru/,Email marketing,,info@dashamail.ru,info@dashamail.ru; info@dashamail.by; support@dashamail.by; support@dashamail.ru
Envybox,https://envybox.io/,Lead capture,,support@envybox.io,support@envybox.io; ivan@mail.ru
Planfix,https://planfix.com/ru/,Project mgmt,,,
Weeek,https://weeek.net/,Project mgmt,,info@weeek.net,info@weeek.net
Pyrus,https://pyrus.com/ru,Workflow,,support@pyrus.com,support@pyrus.com
Roistat,https://roistat.com/,Marketing analytics,,manager@roistat.com,manager@roistat.com; buh@roistat.com
Aitarget,https://aitarget.com/,Ads automation,,support@evido.me,support@evido.me; support@aitarget.com
Bitrix24,https://www.bitrix24.ru/,CRM,,,
Mango Office,https://www.mango-office.ru/,Telephony / CC,,sales@mangotele.com,sales@mangotele.com; pr@mangotele.com; job@mangotele.com; mango@mangotele.com; vasha@pochta.tut; document@mangotele.com
Worksection,https://worksection.com/ru/,Project mgmt,,,
Click.ru,https://click.ru/,Ads automation,,support@click.ru,support@click.ru
OWOX BI,https://www.owox.com/ru/,BI / analytics,,mail@owox.com,mail@owox.com
Rookee,https://www.rookee.ru/,SEO platform,,support@rookee.ru,support@rookee.ru
Calltouch,https://www.calltouch.ru/,Call tracking,,sales@calltouch.net,sales@calltouch.net
Potok,https://potok.io/,ATS / HR,,info@potok.io,info@potok.io; info@talenttech.ru; support@potok.io; help@potok.io; blog@potok.io; example@usermail.com
Skillaz,https://skillaz.ru/,Recruiting automation,,hello@skillaz.ru,hello@skillaz.ru; example@usermail.com
Carrot quest,https://www.carrotquest.io/,Chat / marketing,,support@carrotquest.io,support@carrotquest.io
Comagic,https://www.comagic.ru/,Call tracking,,partners@uiscom.ru,partners@uiscom.ru; info@uiscom.ru; press@uiscom.ru; hr@uiscom.ru; marketplace@uiscom.ru; op@uiscom.ru; davayte_druzhit@uiscom.ru
E-Staff,https://e-staff.ru/,ATS,,hello@datex.ru,hello@datex.ru; support@e-staff.ru; v.topchii@datex.ru
Promopult,https://promopult.ru/,SEO/Ads platform,,,
Jivo,https://www.jivo.ru/,Live chat,,info@jivosite.com,info@jivosite.com; compliance@jivo.ru
Эквио,https://www.equio.ru/,Corp learning,,,
