company,site,category,contact_name,email,all_emails,personalization
Kaiten,https://kaiten.ru/,Project mgmt,,sales@kaiten.ru,sales@kaiten.ru; marketing@kaiten.ru; support@kaiten.ru; accounting@kaiten.ru; hr@kaiten.ru,"Ваша платформа объединяет управление проектами по канбану, скраму и гантом в одном интерфейсе, с готовыми решениями для банков, ритейла, производств и госучреждений."
Мегаплан,https://megaplan.ru/,CRM,,info@megaplan.kz,info@megaplan.kz; info@megaplan.ru; info@megaplan.by; writer@megaplan.ru,"Мегаплан встроил видеозвонки с AI в CRM и управление проектами для производства, оптовых продаж, строительства и B2B услуг."
amoCRM,https://www.amocrm.ru/,CRM,,support@amocrm.ru,support@amocrm.ru,"amoCRM собирает все входящие запросы — из email, телефона, форм на сайте, чатов и мессенджеров — в одну систему."
RetailCRM,https://www.retailcrm.ru/,CRM,,pr@retailcrm.ru,pr@retailcrm.ru; support@retailcrm.ru,"RetailCRM агрегирует все каналы в одно окно — из него вы управляете заказами, лояльностью и маркетинг-сценариями для онлайна и офлайна."
Unisender,https://www.unisender.com/ru/,Email marketing,,pr@unisender.com,pr@unisender.com; support@unisender.com; affiliate@unisender.com,"Unisender сфокусирован на email-маркетинге в России и Беларуси с интеграциями Яндекс.Метрики, что важно для компаний на российском рынке."
Sendsay,https://sendsay.ru/,Email marketing,,info@intervale.kz,info@intervale.kz; sale@sendsay.ru; moscow@sendsay.ru,"Sendsay объединяет клиентские данные в один профиль и отправляет персональные сообщения через email, SMS, push, Telegram, VK и браузер."
Yougile,https://yougile.com/,Project mgmt,,support@yougile.com,support@yougile.com; feature_1@2.mp; feature_4@1.webm; feature_2@1.webm; about_1@2.mp; feature_1@1.webm; feature_3@1.webm; feature_3@2.mp; inf@yougile.com; buh@yougile.com; op@yougile.com; feature_2@2.mp; feature_4@2.mp; about_1@2.webm,Система управления правами на 108 опций — явно для крупных команд со сложной структурой доступа.
Mindbox,https://mindbox.ru/,CDP / marketing,,info@mindbox.ru,info@mindbox.ru,"Объединяете CDP, омниканальные рассылки, персонализацию и лояльность в одной платформе для ритейлеров и интернет-магазинов."
SendPulse,https://sendpulse.com/ru,Email marketing,,sales@sendpulse.com,sales@sendpulse.com; support@sendpulse.com,"SendPulse объединяет email, SMS и чат-боты с CRM, чтобы менеджер мог вести всё общение с контактом из одной карточки."
DashaMail,https://dashamail.ru/,Email marketing,,info@dashamail.ru,info@dashamail.ru; info@dashamail.by; support@dashamail.by; support@dashamail.ru,Вы встроили Customer Data Platform в сервис email-рассылок — управление данными и кампаниями в одной системе.
Envybox,https://envybox.io/,Lead capture,,support@envybox.io,support@envybox.io; ivan@mail.ru,"Собираете все каналы связи в один кабинет, превращая трафик в целевые заявки и звонки."
Planfix,https://planfix.com/ru/,Project mgmt,,,,"Планфикс объединяет 400+ инструментов в одну платформу, которая масштабируется с компанией под её процессы."
Weeek,https://weeek.net/,Project mgmt,,info@weeek.net,info@weeek.net,"Встроенная CRM с воронками, связанная с проектными задачами в одном workspace — редкое сочетание для таск-менеджера."
Pyrus,https://pyrus.com/ru,Workflow,,support@pyrus.com,support@pyrus.com,—
Roistat,https://roistat.com/,Marketing analytics,,manager@roistat.com,manager@roistat.com; buh@roistat.com,"Платформа связывает клики, визиты и сделки в CRM в единую цепочку — видно вклад каждого канала в прибыль, а не просто расход бюджета."
Aitarget,https://aitarget.com/,Ads automation,,support@evido.me,support@evido.me; support@aitarget.com,"Вы специализируетесь на рекламе в крипто, финансе и гейминге с локальным биллингом и технической поддержкой."
Bitrix24,https://www.bitrix24.ru/,CRM,,,,"В Bitrix24 все каналы коммуникации с клиентом (звонки, письма, чаты) автоматически попадают в CRM для управления сделками."
Mango Office,https://www.mango-office.ru/,Telephony / CC,,sales@mangotele.com,sales@mangotele.com; pr@mangotele.com; job@mangotele.com; mango@mangotele.com; vasha@pochta.tut; document@mangotele.com,"MANGO OFFICE совмещает омниканальный контакт-центр, речевую аналитику и голосовых роботов — обычно это три разных системы."
Worksection,https://worksection.com/ru/,Project mgmt,,,,"Вложенные задачи, встроенные таймеры и поддержка неограниченного количества клиентов — всё в одном интерфейсе без переключений."
Click.ru,https://click.ru/,Ads automation,,support@click.ru,support@click.ru,"Помогаете агентствам управлять всеми крупными рекламными платформами из одного интерфейса, плюс экономия до 19% расходов через партнерскую программу."
OWOX BI,https://www.owox.com/ru/,BI / analytics,,mail@owox.com,mail@owox.com,—
Rookee,https://www.rookee.ru/,SEO platform,,support@rookee.ru,support@rookee.ru,"Вы помогаете получить упоминания в ответах Алисы, Google Overviews и ChatGPT — пока конкуренты теряют видимость в новой выдаче."
Calltouch,https://www.calltouch.ru/,Call tracking,,sales@calltouch.net,sales@calltouch.net,"Call tracking, обратный звонок, CDP и аналитика в одной системе — это обычно разбросано по четырём-пяти разным сервисам."
Potok,https://potok.io/,ATS / HR,,info@potok.io,info@potok.io; info@talenttech.ru; support@potok.io; help@potok.io; blog@potok.io; example@usermail.com,"Система охватывает весь цикл управления: подбор с ИИ-скорингом резюме, адаптация в игровом формате, оценка 360 и аналитика вовлеченности."
Skillaz,https://skillaz.ru/,Recruiting automation,,hello@skillaz.ru,hello@skillaz.ru; example@usermail.com,"Платформа объединяет найм, адаптацию и развитие персонала в одной системе — от AI-оценки кандидатов до персональных карьерных треков."
Carrot quest,https://www.carrotquest.io/,Chat / marketing,,support@carrotquest.io,support@carrotquest.io,"Вы собираете в одной платформе все коммуникации клиента — от сайта до CRM, чтобы лиды не терялись на пути к сделке."
Comagic,https://www.comagic.ru/,Call tracking,,partners@uiscom.ru,partners@uiscom.ru; info@uiscom.ru; press@uiscom.ru; hr@uiscom.ru; marketplace@uiscom.ru; op@uiscom.ru; davayte_druzhit@uiscom.ru,"Коллтрекинг и омниканальное рабочее место с интеграциями amoCRM и Битрикс24 для объединения звонков, чатов и имейлов."
E-Staff,https://e-staff.ru/,ATS,,hello@datex.ru,hello@datex.ru; support@e-staff.ru; v.topchii@datex.ru,E-staff объединяет 40+ job-сайтов в один интерфейс и использует роботизированный поиск для автоматической фильтрации кандидатов по навыкам и опыту.
Promopult,https://promopult.ru/,SEO/Ads platform,,,,"Вы собрали Яндекс Директ, SEO, ВКонтакте, Wildberries и Авито в один интерфейс с единой аналитикой."
Jivo,https://www.jivo.ru/,Live chat,,info@jivosite.com,info@jivosite.com; compliance@jivo.ru,Вы позволяете бизнесам внедрить ИИ-оператора за 5 минут без разработчиков и обслуживать клиентов через 10+ каналов в одном интерфейсе.
Эквио,https://www.equio.ru/,Corp learning,,,,—
Verbox,https://verbox.ru/,Live chat,,office@verbox.ru,office@verbox.ru,"Оператор ведёт клиента по сайту из чата — показывает товары, заполняет формы, демонстрирует покупку вместо объяснений."
Teachbase,https://teachbase.ru/,LMS,,info@teachbase.ru,info@teachbase.ru; marketing@teachbase.ru; help@teachbase.ru; accounting@teachbase.ru,Teachbase управляет обучением в сети филиалов через мастер-аккаунт и автоматизирует весь цикл — от создания курсов до выдачи сертификатов и рассылок.
Postoplan,https://postoplan.app/,SMM automation,,,,"Ваша платформа объединяет управление 8+ социальными сетями в одном интерфейсе, включая нишевые каналы вроде Telegram и Google My Business."
LiveTex,https://livetex.ru/,Live chat,,partners@livetex.ru,partners@livetex.ru; hello@livetex.ru; marketing@livetex.ru; pr@livetex.ru; support@livetex.ru,"Компании теряют заявки между Telegram, WhatsApp, Instagram и чатом сайта — LiveTex собирает их в одну очередь с ботом."
Huntflow,https://huntflow.ru/,ATS / HR,,,,"Huntflow AI анализирует вакансию и рекомендует подходящих кандидатов из базы резюме, превращая её в источник теплых кандидатов."
InSales,https://www.insales.ru/,eCommerce platform,,partners@insales.ru,partners@insales.ru; sales@insales.ru; info@insales.ru; pr@insales.ru; docs@insales.ru; events@insales.ru; depmarketing@insales.ru,"Товары и заказы на OZON, Wildberries и Avito управляются из одного окна вашей платформы, вместо работы в отдельных маркетплейсах."
Topvisor,https://topvisor.com/ru/,SEO analytics,,support@topvisor.com,support@topvisor.com,Платформа охватывает всю цепочку SEO-аналитики: от проверки позиций и технического аудита до анализа конкурентов и мониторинга в нейросетях.
WebIM,https://webim.ru/,Omni chat,,sales@webim.ru,sales@webim.ru; contact@webim.ru,"Ваша платформа объединяет обращения из 13+ текстовых каналов (соцсети, мессенджеры, Авито, чат) в один интерфейс оператора."
Talk-Me,https://talk-me.ru/,Live chat,,office@talk-me.ru,office@talk-me.ru,Платформа включает 24/7 чат-бота как замену первой линии и объединяет все каналы общения в одном месте.
Flexbe,https://flexbe.com/,Site builder,,info@flexbe.com,info@flexbe.com,Встроенный e-commerce с инвентарем и промокодами позволяет создавать магазины для локальных бизнесов и монобрендов.
iSpring,https://www.ispring.ru/,LMS / corp learning,,,,—
Beget,https://beget.com/ru,Hosting,,sales@beget.com,sales@beget.com; support@beget.com; bills@beget.com; manager@beget.com; abuse@beget.com; feedback@beget.com,"Ваша платформа закрывает облачную инфраструктуру полностью: серверы, БД, хранилище, GPU и CDN в единой панели с API."
AdvantShop,https://www.advantshop.net/,eCommerce platform,,partners@advantshop.net,partners@advantshop.net; support@advantshop.net,"Вы решаете интернет-торговлю с разных сторон: есть собственный магазин, селлер для маркетплейсов и решение для ресторанов — все в одной системе."
Selectel,https://selectel.ru/,Cloud / hosting,,sales@selectel.ru,sales@selectel.ru; pr@selectel.ru; support@selectel.ru; ir@selectel.ru,"Selectel комбинирует GPU-серверы, Kubernetes и готовые LLM с API — полный стек для AI-инфраструктуры под одной крышей."
LPgenerator,https://lpgenerator.ru/,Landing builder,,,,"Ваша платформа закрывает весь цикл — от создания лендинга до обработки заявок через встроенную CRM и рассылки, причём без программиста и дизайнера."
Tilda,https://tilda.cc/ru/,Site builder,,team@tilda.cc,team@tilda.cc,"Встроенный AI генерирует контент и подбирает изображения, а встроенная CRM подключается в два клика и не пропускает ни одну заявку."
Servercore,https://servercore.com/ru/,Cloud infra,,hello@servercore.com,hello@servercore.com; pr@servercore.com; support@servercore.com,"Три дата-центра Servercore в Алматы и Ташкенте — инфраструктура для финтеха, ритейла и AI Центральной Азии."
BI.ZONE,https://bi.zone/,Cybersecurity,,info@bi.zone,info@bi.zone; cert@bi.zone,Охватываете весь периметр киберзащиты собственными продуктами — от обнаружения уязвимостей до реагирования на инциденты.
Cleversite,https://cleversite.ru/,Live chat,,support@cleversite.ru,support@cleversite.ru,"Ваше решение комбинирует live-chat, обратный звонок и поп-апы в одном дашборде, интегрируя с Telegram, WhatsApp и другими мессенджерами."
МойСклад,https://www.moysklad.ru/,Inventory / ERP,,partners@moysklad.ru,partners@moysklad.ru; support@moysklad.ru; mkt@moysklad.ru,"МойСклад управляет учётом, остатками и маркетплейсами одновременно — с интеграциями в Озон, WB и доставку для многоканальных продавцов."
СБИС,https://sbis.ru/,EDM / accounting,,partners@tensor.ru,partners@tensor.ru; sales@9-33.ru; sales@garant-nw.ru; info@sbis.site; info@orange-sbis.ru; info@tensor-sbis.ru; info@sbis-sbis.ru; info@biz-l.ru; info@runfin.ru; info@rlsoft.ru; info@sbis.su; info@reg-uk.ru; info@saby-sbis.ru; info@ubf-corp.com; info@sbisplus24.ru; info@ontax.ru; info@95sbis.ru; info@futuraudit.ru; help@s-s.help; info1@msk.tensor.ru; pravservice@pravservice.ru; invariantno@mail.ru; andrey@fbc.ru; gris86@ya.ru; s.aleksandrov@sbisplus24.ru; sale@sbisinfo.ru; ldocs07@mail.ru; tensor@tensor.ru; finansovaya_feya2025@mail.ru; sva@runfin.ru; sitisoft@sbismsk.ru; msk-co@abt.ru; findebet@bk.ru; vk@sbisplus24.ru; sbis.msk@mail.ru; msk@udcs.ru; killness@mail.ru; s.ivanov@ereports.ru; tp@sbiso.ru; variant.sbis@bk.ru; yakunin@inspro.ru; 1c@belk-it.ru; soft@softum.ru; sbis@zelotchet.ru; business_07@mail.ru; cbrf77@bk.ru; d.grigorev@sbisplus24.ru; eo-msk@abt.ru; stasfox@mail.ru; moscow@parc.com.ru; ris86@ya.ru; finfairy7@yandex.ru; vip.qwerty114@mail.ru; sbis@elcode.ru; aag77@list.ru; sbis@gprava.ru; msk@s-s.pw; 1022d@mail.ru; ir.aredova2017@yandex.ru; mk@alta.ir; 1c@eprof.ru; sbis@sbiseo.ru; hr@tensor.ru,"Платформа объединяет электронные подписи для документов с контрагентами, сотрудниками и поставщиками в одной системе."
Reg.ru,https://www.reg.ru/,Domains / hosting,,,,"Вы собираете услуги в готовые пакеты для малого бизнеса — вместо поиска домена, хостинга, почты отдельно, один пакет на задачу."
Positive Technologies,https://www.ptsecurity.com/ru-ru/,Cybersecurity,,,,"MaxPatrol SIEM выявляет инциденты, MaxPatrol VM управляет уязвимостями, PT EASM показывает риски снаружи — полный спектр защиты."
UIS,https://www.uiscom.ru/,Telephony / CC,,info@uiscom.ru,info@uiscom.ru; press@uiscom.ru,"Ваша платформа объединяет IP-телефонию, мессенджеры и email для управления коммуникациями отделов продаж и колл-центров через интеграцию amoCRM."
OnlinePBX,https://www.onlinepbx.ru/,Cloud PBX,,partner@onlinepbx.ru,partner@onlinepbx.ru; support@onlinepbx.ru; go@onlinebx.ru; go@onlinepbx.ru; fin@onlinepbx.ru,"Облачную АТС вы дополнили ИИ-сотрудником, запоминающим клиентов, мессенджерами и аналитикой — получилась омниканальная платформа для продаж."
Timeweb,https://timeweb.com/,Cloud / hosting,,,,"Изоляция сайтов входит во все тарифы — это стандарт безопасности, а не премиум-опция."
Anketolog,https://anketolog.ru/,Surveys,,rating@mail.ru,rating@mail.ru,"В основе платформы — собственная панель из 367 тысяч активных респондентов, что позволяет проводить исследования без поиска участников."
